index,pro,lig
1,1158,3
2,184,4
3,3132,9
4,1957,10
5,1155,4
6,2160,6
7,862,7
8,208,3
9,898,4
10,1920,6
11,1443,10
12,2226,7
13,983,6
14,1366,15
15,760,10
16,1999,4
17,499,6
18,985,7
19,781,8
20,1251,6
21,922,13
22,576,2
23,519,4
24,350,5
25,786,6
26,2757,10
27,2452,3
28,854,4
29,855,4
30,1257,6
31,3420,37
32,1031,5
33,1120,12
34,762,8
35,736,7
36,530,5
37,947,2
38,1776,10
39,1232,3
40,1980,5
41,1722,4
42,356,4
43,430,3
44,922,4
45,1580,7
46,2040,13
47,1758,13
48,279,4
49,4310,5
50,1352,8
51,2068,5
52,1109,4
53,1081,10
54,1869,50
55,498,4
56,3213,22
57,2442,16
58,1444,4
59,935,19
60,1073,7
61,690,3
62,880,4
63,889,4
64,964,7
65,1050,4
66,0,14
67,657,4
68,658,4
69,643,5
70,2310,8
71,795,5
72,1994,4
73,1760,5
74,4932,8
75,2876,13
76,3923,11
77,855,7
78,2576,5
79,918,4
80,529,4
81,6069,142
82,1231,1
83,501,3
84,452,6
85,2063,10
86,606,4
87,1174,16
88,14080,21
89,1347,5
90,482,4
91,3165,21
92,1007,7
93,519,3
94,354,15
95,3223,28
96,601,6
97,962,20
98,1049,16
99,2839,10
100,519,5
101,781,6
102,542,5
103,529,3
104,3348,5
105,916,5
106,521,4
107,598,8
108,1747,3
109,2135,9
110,384,8
111,733,4
112,521,2
113,1697,5
114,884,11
115,1060,22
116,606,3
117,1437,9
118,1099,5
119,614,3
120,2121,14
121,886,5
122,248,3
123,2222,10
124,1560,23
125,735,11
126,247,4
127,3834,14
128,595,5
129,1675,23
130,556,4
131,1646,8
132,1223,6
133,477,5
134,661,3
135,2157,3
136,1189,4
137,557,5
138,352,3
139,2954,18
140,2234,18
141,3570,9
142,2630,5
143,1358,6
144,585,4
145,427,5
146,2244,16
147,582,3
148,2346,31
149,1730,6
150,1234,8
151,3565,9
152,349,5
153,1266,6
154,1110,3
155,1166,6
156,988,2
157,579,4
158,1159,10
159,420,6
160,1522,10
161,4734,27
162,440,5
163,847,6
164,337,2
165,521,4
166,557,4
167,1452,9
168,2836,13
169,4353,5
170,1087,4
171,862,13
172,1141,10
173,1396,3
174,1018,3
175,753,4
176,770,4
177,695,7
178,640,7
179,598,5
180,1017,11
181,539,5
182,436,6
183,470,2
184,1442,5
185,717,2
186,501,6
187,386,9
188,954,1
189,615,5
